Family,Father,Mother,Gender,Height,Kids
1,78.5,67,Male,73.2,4
1,78.5,67,Female,69.2,4
1,78.5,67,Female,69,4
1,78.5,67,Female,69,4
2,75.5,66.5,Male,73.5,4
2,75.5,66.5,Male,72.5,4
2,75.5,66.5,Female,65.5,4
2,75.5,66.5,Female,65.5,4
3,75,64,Male,71,2
3,75,64,Female,68,2
4,75,64,Male,70.5,5
4,75,64,Male,68.5,5
4,75,64,Female,67,5
4,75,64,Female,64.5,5
4,75,64,Female,63,5
5,75,58.5,Male,72,6
5,75,58.5,Male,69,6
5,75,58.5,Male,68,6
5,75,58.5,Female,66.5,6
5,75,58.5,Female,62.5,6
5,75,58.5,Female,62.5,6
6,74,68,Female,69.5,1
7,74,68,Male,76.5,6
7,74,68,Male,74,6
7,74,68,Male,73,6
7,74,68,Male,73,6
7,74,68,Female,70.5,6
7,74,68,Female,64,6
8,74,66.5,Female,70.5,3
8,74,66.5,Female,68,3
8,74,66.5,Female,66,3
9,74.5,66,Female,66,1
10,74,65.5,Female,65.5,1
11,74,62,Male,74,8
11,74,62,Male,70,8
11,74,62,Female,68,8
11,74,62,Female,67,8
11,74,62,Female,67,8
11,74,62,Female,66,8
11,74,62,Female,63.5,8
11,74,62,Female,63,8
12,74,61,Female,65,1
14,73,67,Male,68,2
14,73,67,Male,67,2
15,73,66.5,Male,71,3
15,73,66.5,Male,70.5,3
15,73,66.5,Female,66.7,3
16,73,65,Male,72,9
16,73,65,Male,70.5,9
16,73,65,Male,70.2,9
16,73,65,Male,70.2,9
16,73,65,Male,69.2,9
16,73,65,Female,68.7,9
16,73,65,Female,66.5,9
16,73,65,Female,64.5,9
16,73,65,Female,63.5,9
17,73,64.5,Male,74,6
17,73,64.5,Male,73,6
17,73,64.5,Male,71.5,6
17,73,64.5,Male,62.5,6
17,73,64.5,Female,66.5,6
17,73,64.5,Female,62.3,6
18,73,64,Female,66,3
18,73,64,Female,64.5,3
18,73,64,Female,64,3
19,73.2,63,Female,62.7,1
20,72.7,69,Male,73.2,8
20,72.7,69,Male,73,8
20,72.7,69,Male,72.7,8
20,72.7,69,Female,70,8
20,72.7,69,Female,69,8
20,72.7,69,Female,68.5,8
20,72.7,69,Female,68,8
20,72.7,69,Female,66,8
21,72,68,Male,73,3
21,72,68,Female,68.5,3
21,72,68,Female,68,3
22,72,67,Male,73,3
22,72,67,Male,71,3
22,72,67,Female,67,3
23,72,65,Male,74.2,7
23,72,65,Male,70.5,7
23,72,65,Male,69.5,7
23,72,65,Female,66,7
23,72,65,Female,65.5,7
23,72,65,Female,65,7
23,72,65,Female,65,7
24,72,65.5,Female,65.5,1
25,72,64,Female,66,2
25,72,64,Female,63,2
26,72,63,Male,70.5,5
26,72,63,Male,70.5,5
26,72,63,Male,69,5
26,72,63,Female,65,5
26,72,63,Female,63,5
27,72,63,Male,69,3
27,72,63,Male,67,3
27,72,63,Female,63,3
28,72,63,Male,73,6
28,72,63,Male,67,6
28,72,63,Female,70.5,6
28,72,63,Female,70,6
28,72,63,Female,66.5,6
28,72,63,Female,63,6
29,72.5,63.5,Female,67.5,3
29,72.5,63.5,Female,67.2,3
29,72.5,63.5,Female,66.7,3
30,72,62,Female,64,1
31,72.5,62,Male,71,6
31,72.5,62,Male,70,6
31,72.5,62,Male,70,6
31,72.5,62,Female,66,6
31,72.5,62,Female,65,6
31,72.5,62,Female,65,6
32,72,62,Male,74,5
32,72,62,Male,72,5
32,72,62,Male,69,5
32,72,62,Female,67.5,5
32,72,62,Female,63.5,5
33,72,62,Male,72,5
33,72,62,Male,71.5,5
33,72,62,Male,71.5,5
33,72,62,Male,70,5
33,72,62,Female,68,5
34,72,61,Female,65.7,1
35,71,69,Male,78,5
35,71,69,Male,74,5
35,71,69,Male,73,5
35,71,69,Male,72,5
35,71,69,Female,67,5
36,71,67,Male,73.2,4
36,71,67,Male,73,4
36,71,67,Male,69,4
36,71,67,Female,67,4
37,71,66,Male,70,4
37,71,66,Female,67,4
37,71,66,Female,67,4
37,71,66,Female,66.5,4
38,71,66,Male,70,6
38,71,66,Male,69,6
38,71,66,Male,68.5,6
38,71,66,Female,66,6
38,71,66,Female,64.5,6
38,71,66,Female,63,6
39,71,66,Male,71,2
39,71,66,Female,67,2
40,71,66,Male,76,5
40,71,66,Male,72,5
40,71,66,Male,71,5
40,71,66,Male,66,5
40,71,66,Female,66,5
41,71.7,65.5,Male,70.5,1
42,71,65.5,Male,72,6
42,71,65.5,Male,72,6
42,71,65.5,Male,71,6
42,71,65.5,Male,69,6
42,71,65.5,Female,66,6
42,71,65.5,Female,65,6
43,71.5,65.5,Male,73,2
43,71.5,65.5,Female,65.2,2
44,71.5,65,Male,68.5,2
44,71.5,65,Male,67.7,2
45,71,65,Male,68,3
45,71,65,Male,68,3
45,71,65,Female,62,3
46,71,64,Female,68,8
46,71,64,Female,68,8
46,71,64,Female,67.5,8
46,71,64,Female,66.5,8
46,71,64,Female,66.5,8
46,71,64,Female,66,8
46,71,64,Female,65.5,8
46,71,64,Female,65,8
47,71.7,64.5,Male,72,4
47,71.7,64.5,Male,71,4
47,71.7,64.5,Male,70.5,4
47,71.7,64.5,Female,67,4
48,71,64,Male,68,3
48,71,64,Male,68,3
48,71,64,Male,68,3
49,71.5,64.5,Male,72,7
49,71.5,64.5,Male,71,7
49,71.5,64.5,Male,70,7
49,71.5,64.5,Female,66,7
49,71.5,64.5,Female,64.5,7
49,71.5,64.5,Female,64.5,7
49,71.5,64.5,Female,62,7
51,71.2,63,Female,67.5,2
51,71.2,63,Female,64.5,2
52,71,63.5,Male,71,5
52,71,63.5,Male,67,5
52,71,63.5,Female,66,5
52,71,63.5,Female,65,5
52,71,63.5,Female,63.5,5
53,71,63,Male,71,9
53,71,63,Male,70,9
53,71,63,Male,70,9
53,71,63,Male,64,9
53,71,63,Female,65,9
53,71,63,Female,65,9
53,71,63,Female,64,9
53,71,63,Female,63,9
53,71,63,Female,63,9
54,71,63,Male,71,4
54,71,63,Male,71,4
54,71,63,Male,70,4
54,71,63,Female,63.5,4
55,71,62,Male,71,5
55,71,62,Male,70,5
55,71,62,Female,64.5,5
55,71,62,Female,62.5,5
55,71,62,Female,61.5,5
56,71,62,Male,72,5
56,71,62,Male,70.5,5
56,71,62,Male,70.5,5
56,71,62,Female,64.5,5
56,71,62,Female,60,5
57,71,62.5,Male,70,5
57,71,62.5,Female,64,5
57,71,62.5,Female,64,5
57,71,62.5,Female,64,5
57,71,62.5,Female,62.5,5
58,71,62,Male,70.5,7
58,71,62,Male,70,7
58,71,62,Male,69,7
58,71,62,Male,69,7
58,71,62,Male,66,7
58,71,62,Female,64.5,7
58,71,62,Female,64,7
59,71,61,Female,62,1
60,71,58,Male,71.5,2
